Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5610,Import Quantity,F0020,Bread,2021,2021,t,104.68,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5141,Food supply quantity (tonnes),F0020,Bread,2021,2021,t,104.68,E,Estimated value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,665,Food supply quantity (g/capita/day),F0020,Bread,2021,2021,g/cap/d,0.01,X,Figure from international organizations
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,23120.03,Flour of maize,2021,2021,t,24334.87,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5610,Import Quantity,23120.03,Flour of maize,2021,2021,t,143511.08,X,Figure from international organizations
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5141,Food supply quantity (tonnes),23120.03,Flour of maize,2021,2021,t,167845.95,E,Estimated value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,665,Food supply quantity (g/capita/day),23120.03,Flour of maize,2021,2021,g/cap/d,11.47,X,Figure from international organizations
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5610,Import Quantity,23162,Husked rice,2021,2021,t,2137.58,X,Figure from international organizations
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5141,Food supply quantity (tonnes),23162,Husked rice,2021,2021,t,2137.58,E,Estimated value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,665,Food supply quantity (g/capita/day),23162,Husked rice,2021,2021,g/cap/d,0.15,X,Figure from international organizations
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5610,Import Quantity,F0022,Pastry,2021,2021,t,4430.94,X,Figure from international organizations
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5910,Export Quantity,F0022,Pastry,2021,2021,t,15.78,X,Figure from international organizations
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5141,Food supply quantity (tonnes),F0022,Pastry,2021,2021,t,4415.16,E,Estimated value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,665,Food supply quantity (g/capita/day),F0022,Pastry,2021,2021,g/cap/d,0.3,X,Figure from international organizations
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5610,Import Quantity,23161.03,"Rice, broken",2021,2021,t,48838.1,X,Figure from international organizations
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5141,Food supply quantity (tonnes),23161.03,"Rice, broken",2021,2021,t,48838.1,E,Estimated value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,665,Food supply quantity (g/capita/day),23161.03,"Rice, broken",2021,2021,g/cap/d,3.34,X,Figure from international organizations
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,23161.02,"Rice, milled",2021,2021,t,278385,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5610,Import Quantity,23161.02,"Rice, milled",2021,2021,t,274617.56,X,Figure from international organizations
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5141,Food supply quantity (tonnes),23161.02,"Rice, milled",2021,2021,t,553002.56,E,Estimated value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,665,Food supply quantity (g/capita/day),23161.02,"Rice, milled",2021,2021,g/cap/d,37.78,X,Figure from international organizations
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5610,Import Quantity,23710,"Uncooked pasta, not stuffed or otherwise prepared",2021,2021,t,2413,X,Figure from international organizations
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5910,Export Quantity,23710,"Uncooked pasta, not stuffed or otherwise prepared",2021,2021,t,0.01,X,Figure from international organizations
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5141,Food supply quantity (tonnes),23710,"Uncooked pasta, not stuffed or otherwise prepared",2021,2021,t,2412.99,E,Estimated value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,665,Food supply quantity (g/capita/day),23710,"Uncooked pasta, not stuffed or otherwise prepared",2021,2021,g/cap/d,0.16,X,Figure from international organizations
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,111,Wheat,2021,2021,t,3900000,X,Figure from international organizations
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5610,Import Quantity,111,Wheat,2021,2021,t,450000,E,Estimated value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5510,Production,23110,Wheat and meslin flour,2021,2021,t,3369400,I,Imputed value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5610,Import Quantity,23110,Wheat and meslin flour,2021,2021,t,1923421,X,Figure from international organizations
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5910,Export Quantity,23110,Wheat and meslin flour,2021,2021,t,0,X,Figure from international organizations
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,5141,Food supply quantity (tonnes),23110,Wheat and meslin flour,2021,2021,t,5292821,E,Estimated value
SCL,Supply Utilization Accounts (2010-),4,Afghanistan,665,Food supply quantity (g/capita/day),23110,Wheat and meslin flour,2021,2021,g/cap/d,361.62,X,Figure from international organizations
SCL,Supply Utilization Accounts (2010-),8,Albania,5610,Import Quantity,F0020,Bread,2021,2021,t,1387.26,X,Figure from international organizations
SCL,Supply Utilization Accounts (2010-),8,Albania,5141,Food supply quantity (tonnes),F0020,Bread,2021,2021,t,1387.26,E,Estimated value
SCL,Supply Utilization Accounts (2010-),8,Albania,665,Food supply quantity (g/capita/day),F0020,Bread,2021,2021,g/cap/d,1.33,X,Figure from international organizations
SCL,Supply Utilization Accounts (2010-),8,Albania,5510,Production,23120.03,Flour of maize,2021,2021,t,4129.92,I,Imputed value
SCL,Supply Utilization Accounts (2010-),8,Albania,5610,Import Quantity,23120.03,Flour of maize,2021,2021,t,1319.38,X,Figure from international organizations
SCL,Supply Utilization Accounts (2010-),8,Albania,5910,Export Quantity,23120.03,Flour of maize,2021,2021,t,8.46,X,Figure from international organizations
SCL,Supply Utilization Accounts (2010-),8,Albania,5141,Food supply quantity (tonnes),23120.03,Flour of maize,2021,2021,t,5440.85,E,Estimated value
SCL,Supply Utilization Accounts (2010-),8,Albania,665,Food supply quantity (g/capita/day),23120.03,Flour of maize,2021,2021,g/cap/d,5.22,X,Figure from international organizations
SCL,Supply Utilization Accounts (2010-),8,Albania,5610,Import Quantity,23162,Husked rice,2021,2021,t,33.73,X,Figure from international organizations
SCL,Supply Utilization Accounts (2010-),8,Albania,5910,Export Quantity,23162,Husked rice,2021,2021,t,3.84,X,Figure from international organizations
SCL,Supply Utilization Accounts (2010-),8,Albania,5141,Food supply quantity (tonnes),23162,Husked rice,2021,2021,t,29.89,E,Estimated value
SCL,Supply Utilization Accounts (2010-),8,Albania,665,Food supply quantity (g/capita/day),23162,Husked rice,2021,2021,g/cap/d,0.03,X,Figure from international organizations
SCL,Supply Utilization Accounts (2010-),8,Albania,5610,Import Quantity,F0022,Pastry,2021,2021,t,19754.62,X,Figure from international organizations
