"country_code","country_name","maize_supply","source_maize_supply","maize_prod","source_maize_prod","maize_grain_imports","source_maize_grain_imports","maize_grain_exports","source_maize_grain_exports","maize_flour_imports","source_maize_flour_imports","maize_flour_exports","source_maize_flour_exports","maize_flour_products_imports","source_maize_flour_products_imports","maize_flour_products_exports","source_maize_flour_products_exports","maize_intake","source_maize_intake"
5,"American Samoa"," "," "," "," "," "," "," "," "," "," "," "," ","0.02","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data]."," "," "," "," "
6,"Andorra"," "," "," "," ","119.795","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data].","35","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data].","87.885","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data]."," "," ","0.0616","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data]."," "," "," "," "
258,"Anguilla"," "," "," "," ","0.005","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data].","1.737567","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data]."," "," "," "," "," "," "," "," "," "," "
22,"Aruba"," "," "," "," ","372.19481","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data]."," "," ","856.71032","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data].","0.8","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data].","4.56774","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data]."," "," "," "," "
17,"Bermuda"," "," "," "," ","51.081","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data].","200.078616","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data].","15.806","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data]."," "," ","1.564","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data]."," "," "," "," "
24,"British Indian Ocean Territory"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
239,"British Virgin Islands"," "," "," "," ","337.92","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data]."," "," ","4.101","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data]."," "," ","0.008","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data]."," "," "," "," "
26,"Brunei Darussalam"," "," "," "," ","24400.01","FAO. Crops and livestock Products. Italy. 2021. [https://www.fao.org/faostat/en/#data/TCL].","570.12","FAO. Crops and livestock Products. Italy. 2021. [https://www.fao.org/faostat/en/#data/TCL].","469.86","FAO. Crops and livestock Products. Italy. 2021. [https://www.fao.org/faostat/en/#data/TCL]."," "," ","6604.82","FAO. Crops and livestock Products. Italy. 2021. [https://www.fao.org/faostat/en/#data/TCL].","30","FAO. Crops and livestock Products. Italy. 2021. [https://www.fao.org/faostat/en/#data/TCL]."," "," "
36,"Cayman Islands"," "," "," "," ","138.03","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data]."," "," ","117.8301","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data]."," "," ","0.6128","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data]."," "," "," "," "
259,"Channel Islands"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
42,"Christmas Island"," "," "," "," "," "," "," "," ","0.02","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data]."," "," "," "," "," "," "," "," "
43,"Cocos (Keeling) Islands"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
47,"Cook Islands"," "," "," "," ","1.55","FAO. Crops and livestock Products. Italy. 2021. [https://www.fao.org/faostat/en/#data/TCL].","0.03","FAO. Crops and livestock Products. Italy. 2021. [https://www.fao.org/faostat/en/#data/TCL].","15.16","FAO. Crops and livestock Products. Italy. 2021. [https://www.fao.org/faostat/en/#data/TCL]."," "," "," "," "," "," "," "," "
61,"Equatorial Guinea"," "," "," "," ","140.16","FAO. Crops and livestock Products. Italy. 2021. [https://www.fao.org/faostat/en/#data/TCL]."," "," ","12.77","FAO. Crops and livestock Products. Italy. 2021. [https://www.fao.org/faostat/en/#data/TCL]."," "," "," "," "," "," "," "," "
