"country_code","country_name","wheat_supply","source_wheat_supply","wheat_prod","source_wheat_prod","wheat_grain_imports","source_wheat_grain_imports","wheat_grain_exports","source_wheat_grain_exports","wheat_flour_imports","source_wheat_flour_imports","wheat_flour_exports","source_wheat_flour_exports","wheat_flour_products_imports","source_wheat_flour_products_imports","wheat_flour_products_exports","source_wheat_flour_products_exports","wheat_intake","source_wheat_intake"
5,"American Samoa"," "," "," "," "," "," "," "," ","344.6205","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data]."," "," ","1109.757459","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data].","2.23275","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data]."," "," "
6,"Andorra"," "," "," "," ","81.07","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data]."," "," ","1053.8717","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data].","5.05","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data].","5497.437318","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data].","172.2745","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data]."," "," "
258,"Anguilla"," "," "," "," ","4.004","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data]."," "," ","349.400703","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data]."," "," ","67.466107","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data].","13.1229","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data]."," "," "
22,"Aruba"," "," "," "," ","0.76281","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data]."," "," ","3285.91672","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data]."," "," ","3053.62997","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data].","0.036","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data]."," "," "
17,"Bermuda"," "," "," "," ","193","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data].","4805.1","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data].","932.405","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data].","0.055175","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data].","2672.719075","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data].","0.028966","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data]."," "," "
24,"British Indian Ocean Territory"," "," "," "," "," "," "," "," "," "," "," "," ","1.348","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data]."," "," "," "," "
239,"British Virgin Islands"," "," "," "," ","301.98","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data].","270","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data].","492.66327","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data]."," "," ","555.378021","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data]."," "," "," "," "
26,"Brunei Darussalam"," "," "," "," ","13.83","FAO. Crops and livestock Products. Italy. 2021. [https://www.fao.org/faostat/en/#data/TCL]."," "," ","16608.16","FAO. Crops and livestock Products. Italy. 2021. [https://www.fao.org/faostat/en/#data/TCL].","75.03","FAO. Crops and livestock Products. Italy. 2021. [https://www.fao.org/faostat/en/#data/TCL].","11818.18","FAO. Crops and livestock Products. Italy. 2021. [https://www.fao.org/faostat/en/#data/TCL].","52.02","FAO. Crops and livestock Products. Italy. 2021. [https://www.fao.org/faostat/en/#data/TCL]."," "," "
36,"Cayman Islands"," "," "," "," "," "," "," "," ","241.5647","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data]."," "," ","2061.066068","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data].","0.11937","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data]."," "," "
259,"Channel Islands"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
42,"Christmas Island"," "," "," "," "," "," "," "," ","17.6","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data].","15.513","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data].","51.88544","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data]."," "," "," "," "
43,"Cocos (Keeling) Islands"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
47,"Cook Islands"," "," "," "," "," "," "," "," ","680.71","FAO. Crops and livestock Products. Italy. 2021. [https://www.fao.org/faostat/en/#data/TCL]."," "," ","370.05","FAO. Crops and livestock Products. Italy. 2021. [https://www.fao.org/faostat/en/#data/TCL]."," "," "," "," "
61,"Equatorial Guinea"," "," "," "," ","3.46","FAO. Crops and livestock Products. Italy. 2021. [https://www.fao.org/faostat/en/#data/TCL]."," "," ","23881.78","FAO. Crops and livestock Products. Italy. 2021. [https://www.fao.org/faostat/en/#data/TCL].","2","FAO. Crops and livestock Products. Italy. 2021. [https://www.fao.org/faostat/en/#data/TCL].","8227.54","FAO. Crops and livestock Products. Italy. 2021. [https://www.fao.org/faostat/en/#data/TCL].","15.12","FAO. Crops and livestock Products. Italy. 2021. [https://www.fao.org/faostat/en/#data/TCL]."," "," "
178,"Eritrea"," "," ","25000","FAO. Crops and livestock Products. Italy. 2021. [https://www.fao.org/faostat/en/#data/TCL].","60231.58","FAO. Crops and livestock Products. Italy. 2021. [https://www.fao.org/faostat/en/#data/TCL]."," "," ","119000","FAO. Crops and livestock Products. Italy. 2021. [https://www.fao.org/faostat/en/#data/TCL]."," "," ","1406.8","FAO. Crops and livestock Products. Italy. 2021. [https://www.fao.org/faostat/en/#data/TCL].","0.32","FAO. Crops and livestock Products. Italy. 2021. [https://www.fao.org/faostat/en/#data/TCL]."," "," "
65,"Falkland Islands (Malvinas)"," "," "," "," "," "," "," "," ","1.75","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data]."," "," ","355.939","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data]."," "," "," "," "
64,"Faroe Islands"," "," "," "," ","16190.24","FAO. Crops and livestock Products. Italy. 2021. [https://www.fao.org/faostat/en/#data/TCL]."," "," ","1196.78","FAO. Crops and livestock Products. Italy. 2021. [https://www.fao.org/faostat/en/#data/TCL]."," "," ","3789.67","FAO. Crops and livestock Products. Italy. 2021. [https://www.fao.org/faostat/en/#data/TCL].","0.56","FAO. Crops and livestock Products. Italy. 2021. [https://www.fao.org/faostat/en/#data/TCL]."," "," "
69,"French Guiana"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
82,"Gibraltar"," "," "," "," ","0.03","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data]."," "," ","200.56798","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data]."," "," ","2279.150191","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data].","0.343864","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data]."," "," "
85,"Greenland"," "," "," "," ","1.213","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data]."," "," ","1195.356752","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data]."," "," ","3627.369898","United Nations, Department of Economic and Social Affairs, Statistics Division. UN Comtrade Database. United States of America. 2021. [https://comtrade.un.org/data]."," "," "," "," "
87,"Guadeloupe"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
