country_code,country_name,percent_urban,wheat_percent_ip,maize_percent_ip,rice_percent_ip
2,Afghanistan,25.5,81,,79
3,Albania,60.3,100,100,100
4,Algeria,72.6,100,97,100
5,American Samoa,87.2,100,,100
6,Andorra,88.1,100,100,100
7,Angola,65.5,100,56,66
258,Anguilla,100,100,,100
8,Antigua and Barbuda,24.6,100,100,
9,Argentina,91.9,100,100,100
1,Armenia,63.1,81,100,100
22,Aruba,43.4,100,100,100
10,Australia,86,100,100,100
11,Austria,58.3,100,100,100
52,Azerbaijan,55.7,100,100,100
12,Bahamas,83,100,,100
13,Bahrain,89.3,100,100,100
16,Bangladesh,36.6,78,,28
14,Barbados,31.1,100,100,100
57,Belarus,78.6,100,100,100
255,Belgium,98,100,100,100
23,Belize,45.7,100,0,100
53,Benin,47.3,100,,87
17,Bermuda,100,100,100,100
18,Bhutan,40.9,100,,89
19,"Bolivia, Plurinational State of",69.4,100,,8
80,Bosnia and Herzegovina,48.2,100,100,100
20,Botswana,69.4,100,65,95
21,Brazil,86.6,100,100,100
24,British Indian Ocean Territory,,,100,100
239,British Virgin Islands,47.7,100,100,100
26,Brunei Darussalam,77.6,100,100,91
27,Bulgaria,75,100,100,100
233,Burkina Faso,29.4,100,1,52
29,Burundi,13,40,,30
35,Cabo Verde,65.7,100,100,100
115,Cambodia,23.4,100,1,53
32,Cameroon,56.4,100,4,79
33,Canada,81.4,100,100,100
36,Cayman Islands,100,100,100,100
37,Central African Republic,41.4,100,0,62
39,Chad,23.1,100,0,2
259,Channel Islands,30.9,100,100,100
40,Chile,87.6,100,1,58
351,China,59.2,100,,100
42,Christmas Island,,100,,100
43,Cocos (Keeling) Islands,,,,
44,Colombia,80.8,100,0,80
45,Comoros,29,100,,100
46,Congo,66.9,100,2,88
47,Cook Islands,75.1,100,100,100
48,Costa Rica,79.3,100,100,100
107,Cote d'Ivoire,50.8,100,100,74
98,Croatia,56.9,100,100,100
49,Cuba,77,100,,100
50,Cyprus,66.8,100,100,100
167,Czech Republic,73.8,100,100,100
250,Democratic Republic of the Congo,44.5,98,,
54,Denmark,87.9,100,100,100
72,Djibouti,77.8,100,100,100
55,Dominica,70.5,100,100,100
56,Dominican Republic,81.1,100,0,5
58,Ecuador,63.8,100,,100
59,Egypt,42.7,90,0,100
60,El Salvador,72,100,100,100
61,Equatorial Guinea,72.1,100,100,100
178,Eritrea,40.1,89,,100
63,Estonia,68.9,100,100,100
209,"Eswatini, the Kingdom of",23.8,100,50,100
238,Ethiopia,20.8,40,0,92
65,Falkland Islands (Malvinas),77.7,100,,100
64,Faroe Islands,42.1,100,100,100
66,Fiji,56.2,100,37,100
67,Finland,85.4,100,100,100
68,France,80.4,100,100,100
69,French Guiana,85.3,100,,
70,French Polynesia,61.8,100,100,100
74,Gabon,89.4,100,100,98
75,Gambia,61.3,100,6,97
73,Georgia,58.6,100,100,100
79,Germany,77.3,100,100,100
81,Ghana,56.1,100,0,60
82,Gibraltar,100,100,100,100
84,Greece,79.1,100,100,100
85,Greenland,86.8,100,100,100
86,Grenada,36.3,100,100,100
87,Guadeloupe,98.5,100,,
88,Guam,94.8,100,,100
89,Guatemala,51.1,100,1,14
90,Guinea,36.1,100,,59
175,GuineaBissau,43.4,100,,46
91,Guyana,26.6,100,,0
93,Haiti,55.3,100,23,83
95,Honduras,57.1,100,70,8
97,Hungary,71.4,100,100,100
99,Iceland,93.8,100,100,100
100,India,34,30,,90
101,Indonesia,55.3,100,,6
102,Iran Islamic Republic of,74.9,100,0,78
103,Iraq,70.5,100,3,97
104,Ireland,63.2,100,100,100
264,Isle of Man,52.6,100,100,100
105,Israel,92.4,100,75,99
106,Italy,70.4,100,100,100
109,Jamaica,55.7,100,95,100
110,Japan,91.6,100,100,100
112,Jordan,91,100,100,100
108,Kazakhstan,57.4,100,100,100
114,Kenya,27,100,40,88
83,Kiribati,54.1,100,100,100
117,Korea Republic of,81.5,100,100,95
116,"Korea, Democratic People's Republic",61.9,100,,100
400,Kosovo,,70,100,100
118,Kuwait,100,100,,100
113,Kyrgyzstan,36.4,100,100,100
120,Lao People's Democratic Republic,35,100,,21
119,Latvia,68.1,100,100,100
121,Lebanon,88.6,100,,100
122,Lesotho,28.2,100,71,100
123,Liberia,51.2,100,100,67
124,Libya,80.1,100,,
125,Liechtenstein,14.3,100,100,100
126,Lithuania,67.7,100,100,100
256,Luxembourg,91,100,100,100
154,"Macedonia, former Yugoslav Republic",58,100,100,100
129,Madagascar,37.2,100,,20
130,Malawi,16.9,100,15,0
131,Malaysia,76,98,,37
132,Maldives,39.8,100,100,100
133,Mali,42.4,100,,48
134,Malta,94.6,100,100,100
127,Marshall Islands,77,100,100,100
135,Martinique,89,100,,
136,Mauritania,53.7,95,11,17
137,Mauritius,40.8,100,7,100
270,Mayotte,46.1,,,
138,Mexico,80.2,100,42,12
145,"Micronesia, Federated States of",22.7,100,100,100
146,"Moldova, Republic of",42.6,100,100,100
140,Monaco,100,100,100,100
141,Mongolia,68.4,100,100,100
273,Montenegro,66.8,100,100,100
142,Montserrat,9.1,100,,100
143,Morocco,62.5,100,97,89
144,Mozambique,36,100,35,93
28,Myanmar,30.6,88,,12
147,Namibia,50,98,85,97
148,Nauru,100,100,100,100
149,Nepal,19.7,25,,58
150,Netherlands,91.5,100,100,100
151,Netherlands Antilles,,100,,
